Movie,Distributor,Genre,Gross,Tickets Sold,rank,releaseYear,radius,x,y
The Birth of a Nation,Fox Searchlight,Drama,15861566.0,1833707.0,123.0,2016.0,7,667.0271832452163,535.8863297840834
Dirty Grandpa,Lionsgate,Comedy,35593113.0,4114810.0,80.0,2016.0,13,626.4152658291507,546.5948387274732
The Hateful Eight,Weinstein Co.,Western,25071561.0,2898446.0,101.0,2016.0,9,590.49157594639,568.3546297468566
Hacksaw Ridge,Lionsgate,Drama,64606565.0,7468967.0,47.0,2016.0,17,552.7156009928137,586.711528077097
Batman v Superman: Dawn of ...,Warner Bros.,Action,330360194.0,38191930.0,8.0,2016.0,22,512.790496188602,584.2648964389651
The Meddler,Sony Pictures Cla...,Comedy,4267219.0,493320.0,175.0,2016.0,3,467.79063482385953,584.153195257405
Passengers,Sony Pictures,Thriller/Suspense,55380209.0,6402336.0,58.0,2016.0,15,424.3831024115679,572.2878621446835
The Girl on the Train,Universal,Thriller/Suspense,75395035.0,8716189.0,40.0,2016.0,17,384.6530502031827,567.6485786311449
Batman: The Killing Joke,Fathom Events,Action,3775000.0,436416.0,186.0,2016.0,3,348.2565838422101,541.1854488760576
Risen,Sony Pictures,Drama,36880033.0,4263587.0,76.0,2016.0,13,316.6597768405592,509.1441975381273
Where to Invade Next,Drafthouse Films,Documentary,3827261.0,442457.0,184.0,2016.0,3,284.9039226591096,477.2605696829646
Warcraft,Universal,Action,47365290.0,5475756.0,66.0,2016.0,15,247.0101435978894,452.9899803110637
The Darkness,High Top Releasing,Horror,10753574.0,1243187.0,141.0,2016.0,5,221.64978959429624,415.81670436163415
