,title,artist,listType,listHighestRank,Tickets Sold,rank_each_year,releaseYear,x,y,rank
209,Dawn of the Planet of the Apes,20th Century Fox,Adventure,19.15566822758038,25525775,10,2014,1426.06,299.88,86.0
210,The Amazing Spider-Man 2,Sony Pictures,Action,19.127996736139643,24829122,11,2014,1265.9,138.53,89.0
211,Godzilla,Warner Bros.,Action,19.11720256898903,24562554,12,2014,768.99,192.51,93.0
212,22 Jump Street,Sony Pictures,Comedy,19.071543074081564,23466259,13,2014,1011.94,403.92,99.0
213,Teenage Mutant Ninja Turtles,Paramount Pictures,Adventure,19.068855422289207,23403274,14,2014,1136.58,169.54,100.0
214,Interstellar,Paramount Pictures,Adventure,19.023914672060947,22374797,15,2014,773.88,90.73,109.0
215,How to Train Your Dragon 2,20th Century Fox,Adventure,18.991676810175665,21664984,16,2014,917.52,327.81,114.0
216,Gone Girl,20th Century Fox,Thriller/Suspense,18.92868789756026,20342421,17,2014,635.14,301.93,131.0
217,Divergent,Lionsgate,Adventure,18.832445269004985,18475874,18,2014,704.98,111.75,151.0
218,Neighbors,Universal,Comedy,18.826724351364202,18370477,19,2014,795.61,104.24,154.0
219,Ride Along,Universal,Comedy,18.714860895582984,16426262,20,2014,1848.78,156.16,171.0
220,Rio 2,20th Century Fox,Adventure,18.694809648245037,16100175,21,2014,1719.38,230.02,175.0
221,Lucy,Universal,Action,18.656337359314044,15492528,22,2014,1373.05,210.24,184.0
222,The Fault in Our Stars,20th Century Fox,Drama,18.6428025734866,15284253,23,2014,892.37,92.1,187.0
223,Lone Survivor,Universal,Action,18.641973912363568,15271593,24,2014,1127.37,343.85,188.0
224,Mr. Peabody & Sherman,20th Century Fox,Adventure,18.529592815363138,13648277,25,2014,1087.6,288.69,213.0
225,300: Rise of an Empire,Warner Bros.,Action,18.48440691334659,13045293,26,2014,1388.92,170.09,226.0
226,Frozen,Walt Disney,Musical,18.46034635812251,12735162,27,2014,1882.57,210.45,232.0
227,The Maze Runner,20th Century Fox,Action,18.441504330284612,12497452,28,2014,929.14,85.45,238.0
228,The Equalizer,Sony Pictures,Action,18.434234732241162,12406930,29,2014,661.39,167.99,245.0
229,Noah,Paramount Pictures,Drama,18.432609749600154,12386786,30,2014,870.74,215.66,246.0
230,Edge of Tomorrow,Warner Bros.,Action,18.42274117979579,12265147,31,2014,721.21,407.86,253.0
231,Non-Stop,Universal,Action,18.334492591656648,11229150,32,2014,1441.58,273.34,273.0
232,Heaven is for Real,Sony Pictures,Drama,18.330603913256862,11185568,33,2014,974.63,122.83,276.0
233,Into the Woods,Walt Disney,Musical,18.324958684337197,11122601,34,2014,1870.05,222.83,278.0
234,Fury,Sony Pictures,Drama,18.261032267230927,10433823,35,2014,994.35,296.49,298.0
235,Dumb and Dumber To,Universal,Comedy,18.25655723368549,10387236,36,2014,1674.62,178.81,299.0
236,Tammy,Warner Bros.,Comedy,18.252563017459092,10345830,37,2014,1525.4,307.14,300.0
237,Annabelle,Warner Bros.,Horror,18.249581734143913,10315032,38,2014,1550.45,203.82,301.0
238,The Other Woman,20th Century Fox,Comedy,18.245269571359295,10270647,39,2014,948.84,337.01,303.0
239,Let's Be Cops,20th Century Fox,Comedy,18.22698402259162,10084550,40,2014,730.11,200.36,309.0
240,The Monuments Men,Sony Pictures,Drama,18.172624687123108,9550993,41,2014,663.36,141.32,320.0
241,Penguins of Madagascar,20th Century Fox,Adventure,18.119956956840575,9060981,42,2014,1201.68,236.5,332.0
242,Hercules,Paramount Pictures,Adventure,18.10169531400706,8897015,43,2014,1729.1,338.74,340.0
243,The Purge: Anarchy,Universal,Thriller/Suspense,18.086082450402547,8759186,44,2014,1628.01,163.98,345.0
244,Night at the Museum: Secret...,20th Century Fox,Adventure,18.054742773198637,8488932,45,2014,1147.24,377.36,356.0
245,Alexander and the Terrible ��,Walt Disney,Adventure,18.005660071510476,8082333,46,2014,1167.77,185.83,372.0
246,Think Like a Man Too,Sony Pictures,Romantic Comedy,17.990339068960274,7959447,47,2014,666.22,251.08,379.0
247,The Nut Job,Open Road,Adventure,17.97831621919629,7864325,48,2014,723.71,378.86,387.0
248,Unbroken,Universal,Drama,17.946930023119368,7621327,49,2014,830.17,353.73,397.0
249,American Hustle,Sony Pictures,Black Comedy,17.945780087819017,7612568,50,2014,1290.55,231.91,399.0
250,God's Not Dead,Pure Flix Enterta...,Drama,17.922371989643345,7436442,51,2014,1866.18,158.03,408.0
251,Son of God,20th Century Fox,Drama,17.904843650389058,7307229,52,2014,1292.3,114.67,415.0
252,Planes: Fire and Rescue,Walt Disney,Adventure,17.895717858358008,7240848,53,2014,1871.02,330.89,418.0
253,The Grand Budapest Hotel,Fox Searchlight,Comedy,17.890514524137316,7203269,54,2014,1406.01,256.36,421.0
254,RoboCop,Sony Pictures,Action,17.886364820777754,7173440,55,2014,634.26,265.93,423.0
255,Annie,Sony Pictures,Musical,17.857717961073188,6970859,56,2014,1517.05,333.98,434.0
256,Dracula Untold,Universal,Action,17.840717238185906,6853351,57,2014,1407.06,167.0,442.0
257,Exodus: Gods and Kings,20th Century Fox,Drama,17.8359814282792,6820971,58,2014,876.3,85.48,445.0
258,The Hundred-Foot Journey,Walt Disney,Comedy,17.808845145703934,6638364,59,2014,701.92,290.42,461.0
259,The Wolf of Wall Street,Paramount Pictures,Black Comedy,17.800323454401582,6582035,60,2014,1597.78,287.98,464.0
260,Horrible Bosses 2,Warner Bros.,Black Comedy,17.7869992833532,6494916,61,2014,969.93,364.3,469.0
261,No Good Deed,Sony Pictures,Thriller/Suspense,17.77715446811563,6431289,62,2014,1120.63,149.3,473.0
262,Muppets Most Wanted,Walt Disney,Adventure,17.750837758919204,6264246,63,2014,788.78,321.71,481.0
