title,artist,listType,Gross,Tickets_Sold,rank_each_year,releaseYear,x,y,rank,listHighestRank
Super Troopers 2,20th Century Fox,Comedy,30617396.0,3360856.0,95.0,2018.0,1210.5944717138418,343.8867055415633,9,17.237078902121585
Life Itself,Amazon Studios,Drama,4095431.0,449553.0,185.0,2018.0,1200.3490897920324,337.6391340712833,3,15.225382520036133
Halloween,Universal,Horror,159341510.0,17490835.0,19.0,2018.0,1207.908377747246,372.7620392920607,20,18.88656031846253
Hell Fest,CBS Films,Horror,11107431.0,1219257.0,140.0,2018.0,1183.0518624090976,375.4366692186851,5,16.223124901753998
Sicario: Day of the Soldado,Sony Pictures,Action,50065850.0,5495702.0,60.0,2018.0,1166.4591585128928,386.6027866017719,15,17.72884969690861
Crazy Rich Asians,Warner Bros.,Romantic Comedy,174519335.0,19156897.0,17.0,2018.0,1133.8662508028344,399.35827040300836,20,18.9775460957609
7 Days in Entebbe,Focus Features,Thriller/Suspense,3189220.0,350079.0,198.0,2018.0,1114.8215978765882,386.46248834379145,3,14.975286930755995
Welcome to Marwen,Universal,Drama,8357895.0,917441.0,148.0,2018.0,1106.82512556687,386.7000396012281,5,15.938717159097015
Incredibles 2,Walt Disney,Adventure,608581744.0,66803704.0,3.0,2018.0,1079.8402957017636,399.8080126387068,25,20.226641798263465
Brian Banks,Bleecker Street,Drama,4376820.0,477818.0,163.0,2019.0,1459.3777203226248,243.9123464792891,5,15.29183299126984
Ne Zha,Well Go USA,Adventure,3695533.0,403442.0,172.0,2019.0,1456.520577465482,236.43994829036225,3,15.12263535094667
Miss Bala,Sony Pictures,Action,14998027.0,1637339.0,118.0,2019.0,1456.998487719145,226.45137472906515,7,16.523429217081883
Gloria Bell,A24,Drama,5611123.0,612568.0,152.0,2019.0,1464.8392958859185,235.53552176067222,5,15.540261435719005
Instant Family,Paramount Pictures,Comedy,2518231.0,274916.0,189.0,2019.0,1467.3398334643414,243.13468696606787,3,14.739067228854395
Mary Queen of Scots,Focus Features,Drama,6742269.0,736056.0,143.0,2019.0,1466.3569465432631,251.0740782084978,5,15.723907073119914
Last Christmas,Universal,Romantic Comedy,35116450.0,3833674.0,76.0,2019.0,1460.044377869646,267.93087140118035,13,17.374180239617505
Don't Let Go,OTL Releasing,Thriller/Suspense,5215062.0,569330.0,156.0,2019.0,1442.9527029377798,273.5766351248422,5,15.467061535128698
Toy Story 4,Walt Disney,Adventure,434038008.0,47384062.0,4.0,2019.0,1426.8030923175627,298.858843826128,25,19.88864266426699
Welcome to Marwen,Universal,Drama,2405625.0,262623.0,192.0,2019.0,1412.5891708009892,274.7349047795981,3,14.693320303020148
The Secret Life of Pets 2,Universal,Adventure,158874395.0,17344366.0,16.0,2019.0,1387.248886723268,277.4003998050841,20,18.883624479441465
The Sun is Also a Star,Warner Bros.,Drama,4950029.0,540396.0,157.0,2019.0,1390.4755142384133,252.60949673806155,5,15.41490399311357
Free Solo,Greenwich,Documentary,6093902.0,665273.0,147.0,2019.0,1389.399864506462,242.66751616806678,5,15.622799157006952
If Beale Street Could Talk,Annapurna Pictures,Drama,10506525.0,1147000.0,130.0,2019.0,1389.8266634703098,230.67510845966817,7,16.1675070506924
Spies in Disguise,20th Century Fox,Adventure,47042421.0,5135635.0,58.0,2019.0,1395.4829201261064,209.41465783782678,15,17.666560327067007
Shaft,Warner Bros.,Comedy,21360215.0,2331901.0,103.0,2019.0,1419.1220000373658,205.2681049382378,9,16.87704063754868
Bharat,Viva Entertainment,Action,2684911.0,293112.0,185.0,2019.0,1429.489607202835,211.3106806855918,3,14.80315813826213
Godzilla: King of the Monsters,Warner Bros.,Action,110500138.0,12063334.0,25.0,2019.0,1449.758587211795,200.4401494475896,20,18.52052732779008
Pain & Glory,Sony Pictures Cla...,Drama,3967719.0,433157.0,171.0,2019.0,1463.5190919944619,218.86970473593564,3,15.193701928347034
A Dog's Way Home,Sony Pictures,Drama,41952715.0,4579990.0,65.0,2019.0,1480.8867013746888,223.5989905610737,15,17.552053708687897
Jexi,Lionsgate,Comedy,6546159.0,714646.0,144.0,2019.0,1475.3333443978463,242.81253334442718,5,15.694389023390803
