title,artist,listType,Gross,Tickets Sold,rank_each_year,releaseYear,x,y,rank,listHighestRank
A Haunted House,Open Road,Comedy,40041683.0,4925176.0,79.0,2013.0,487.6533251147276,212.27352711706413,13,17.505431544494968
Parker,FilmDistrict,Thriller/Suspense,17616641.0,2166868.0,121.0,2013.0,496.4991494866081,230.21095701049774,7,16.684354524657707
Snitch,Lionsgate,Thriller/Suspense,42930462.0,5280499.0,77.0,2013.0,510.36861073791215,244.62060810268503,13,17.575092201847937
Runner Runner,20th Century Fox,Thriller/Suspense,19316646.0,2375971.0,116.0,2013.0,506.63435766337284,264.2688994781531,7,16.77647776919352
Grown Ups 2,Sony Pictures,Comedy,133668525.0,16441392.0,20.0,2013.0,516.8265628717915,289.2712784247551,20,18.710873599249233
Stand Up Guys,Roadside Attractions,Drama,3310031.0,407137.0,175.0,2013.0,493.88190657806723,290.86587792395846,3,15.012468112868302
Tyler Perry's A Madea Chris...,Lionsgate,Comedy,50227277.0,6178016.0,69.0,2013.0,485.29002288109217,306.6829425864569,15,17.73206880362568
A Good Day to Die Hard,20th Century Fox,Action,67349198.0,8284034.0,51.0,2013.0,455.42187392496226,303.87337359203207,15,18.02540155280617
Dhoom 3,Yash Raj Films,Action,7846872.0,965174.0,146.0,2013.0,437.5655466591223,294.86495660705515,5,15.875625539010212
I'm in Love with a Church Girl,High Top Releasing,Drama,2387730.0,293693.0,189.0,2013.0,430.0467913709576,292.1321340887245,3,14.685853681775631
Zero Dark Thirty,Sony Pictures,Thriller/Suspense,91314578.0,11231805.0,37.0,2013.0,413.3844879515283,303.1941250830652,17,18.329821004232
Pulling Strings,Lionsgate,Romantic Comedy,5842961.0,718691.0,161.0,2013.0,408.9121603223236,281.6535056496076,5,15.580748246860868
Baggage Claim,Fox Searchlight,Romantic Comedy,21569509.0,2653076.0,109.0,2013.0,394.97362560893436,282.9639445240477,9,16.886791255009364
Argo,Warner Bros.,Thriller/Suspense,25918584.0,3188017.0,100.0,2013.0,377.91497912329214,277.2191573149436,9,17.070470798326465
Texas Chainsaw 3D,Lionsgate,Horror,12597475.0,1549504.0,134.0,2013.0,373.3732500228042,263.9763216375752,5,16.349006955014183
Parental Guidance,20th Century Fox,Adventure,24927598.0,3066125.0,103.0,2013.0,369.0038851849864,250.67562049387448,9,17.03148610107842
Star Trek Into Darkness,Paramount Pictures,Adventure,228778661.0,28140056.0,11.0,2013.0,363.5634410508921,222.19050916139417,20,19.24826554826034
Bullet to the Head,Warner Bros.,Action,9489829.0,1167260.0,140.0,2013.0,385.4224709307604,210.05861678176012,5,16.065731151456433
Olympus Has Fallen,FilmDistrict,Thriller/Suspense,98927592.0,12168215.0,33.0,2013.0,396.99368422475163,191.3474697590637,17,18.409898746560433
The Wolf of Wall Street,Paramount Pictures,Black Comedy,63173956.0,7770474.0,55.0,2013.0,421.7365104171536,171.05479738668785,15,17.961402685577646
The Conjuring,Warner Bros.,Horror,137400141.0,16900386.0,18.0,2013.0,456.15023811067925,164.67550696879113,20,18.73840796395287
Oblivion,Universal,Thriller/Suspense,89107235.0,10960299.0,40.0,2013.0,488.687626585986,182.2913620773851,17,18.30535109004229
The Book Thief,20th Century Fox,Drama,19091819.0,2348317.0,117.0,2013.0,504.00964433079184,200.7639301778917,7,16.76477047665234
Amour,Sony Pictures Cla...,Drama,6427707.0,790615.0,155.0,2013.0,505.64935887880813,212.65137465519732,5,15.67612842297116
Gravity,Warner Bros.,Thriller/Suspense,255621667.0,31441779.0,7.0,2013.0,532.2460473883807,217.30069291971395,22,19.359209046045528
Monsters University,Walt Disney,Adventure,268488329.0,33024394.0,6.0,2013.0,546.0300198322715,259.08588292366227,22,19.408318003556914
The Hunger Games: Catching ...,Lionsgate,Adventure,407139699.0,50078683.0,2.0,2013.0,559.285901162252,304.1778069252557,25,19.824666925299468
R.I.P.D.,Universal,Action,33618855.0,4135160.0,86.0,2013.0,525.294826261047,321.1662390795387,13,17.330597628255923
Pacific Rim,Warner Bros.,Action,101802906.0,12521882.0,30.0,2013.0,497.77641265894323,339.3798854147333,20,18.43854920784222
