title,artist,listType,listHighestRank,Tickets Sold,rank_each_year,releaseYear,x,y,rank
Victoria and Abdul,Focus Features,Drama,16.917101048302335,2478627.0,98.0,2017.0,906.3762557235048,309.1534695235021,9
Captain Underpants: The Fir...,20th Century Fox,Adventure,18.118507513344728,8240914.0,43.0,2017.0,899.3289350285511,284.12677835142586,17
The Equalizer 2,Sony Pictures,Action,18.441310107839026,11205747.0,32.0,2018.0,1211.143175462028,251.97152668713522,17
Bumblebee,Paramount Pictures,Adventure,18.084174172741726,7840408.0,41.0,2018.0,1198.8453031216025,220.27354038045326,17
A Simple Favor,Lionsgate,Thriller/Suspense,17.79609994928065,5878001.0,56.0,2018.0,1230.2695455129515,226.31646931680098,15
Overboard,Lionsgate,Romantic Comedy,17.733836120488352,5523175.0,59.0,2018.0,1243.1099377198195,253.4296455964957,15
Rampage,Warner Bros.,Action,18.430910570396467,11089817.0,33.0,2018.0,1227.8743651737961,281.56996061240943,17
Green Book,Universal,Comedy,17.286016503499518,3529418.0,89.0,2018.0,1197.9903482855789,278.93452238988425,13
Mission: Impossible—Fallout,Paramount Pictures,Action,19.20986104293353,24166751.0,8.0,2018.0,1172.8101698537914,303.24416274393593,22
Sorry to Bother You,Annapurna Pictures,Black Comedy,16.677316846766793,1920208.0,122.0,2018.0,1149.5232798532509,285.9606227679147,7
The Wife,Sony Pictures Cla...,Drama,15.920489477271222,900870.0,150.0,2018.0,1140.6334658384492,277.90015089697334,5
Paul Apostle of Christ,Sony Pictures,Drama,16.68045048428169,1926234.0,120.0,2018.0,1131.7436518236475,269.83967902603206,7
Dog Days,LD Entertainment,Romantic Comedy,15.733767573551612,747429.0,158.0,2018.0,1129.669807719623,258.02023865720736,5
Disobedience,Bleecker Street,Drama,15.06274455554501,382074.0,190.0,2018.0,1131.1925777778047,250.16650251764267,3
Mary Poppins Returns,Walt Disney,Musical,18.748668964298407,15237899.0,23.0,2018.0,1118.8728515114462,230.7442383673949,20
Adrift,STX Entertainment,Drama,17.26375089577682,3451702.0,92.0,2018.0,1144.936586542656,218.02882582108367,9
Forever My Girl,Roadside Attractions,Drama,16.61133143660337,1797592.0,124.0,2018.0,1160.672651737248,215.13465025772362,7
Halloween,Universal,Horror,18.88656031846253,17490835.0,19.0,2018.0,1174.8179667283118,192.13660547553428,20
Thoroughbreds,Focus Features,Drama,14.93803629396371,337278.0,200.0,2018.0,1196.266644215148,200.4404740959837,3
Death Wish,MGM,Action,17.3423717807396,3734031.0,85.0,2018.0,1210.1482444577155,192.48427056002816,13
All the Money in the World,Sony Pictures,Thriller/Suspense,16.33271860486323,1360476.0,134.0,2018.0,1217.6459837067675,208.84837475650724,5
God's Not Dead: A Light in ...,Pure Flix Enterta...,Drama,15.56104108030393,628862.0,169.0,2018.0,1227.3728960204214,206.5273454929066,5
Life of the Party,Warner Bros.,Comedy,17.786932229326062,5824359.0,57.0,2018.0,1246.6447274470631,201.17977469271125,15
The Happytime Murders,STX Entertainment,Black Comedy,16.84595590049136,2272936.0,114.0,2018.0,1251.9416969888844,222.53257576594328,7
Hereditary,A24,Horror,17.601277492743797,4837481.0,70.0,2018.0,1268.3400100233757,237.1987044174596,15
Vice,Annapurna Pictures,Black Comedy,17.207583000377205,3263172.0,101.0,2018.0,1265.861193389118,261.0703501104931,9
The Darkest Minds,20th Century Fox,Adventure,16.356773202517907,1393599.0,133.0,2018.0,1254.8025719107663,269.65562185916485,5
A Star is Born,Warner Bros.,Drama,19.119600655194073,22080997.0,12.0,2018.0,1262.9713082563394,293.2833967547515,20
The Spy Who Dumped Me,Lionsgate,Comedy,17.32890708843768,3684091.0,86.0,2018.0,1234.95550067886,310.7222764716842,13
Tully,Focus Features,Comedy,16.05299750659421,1028513.0,145.0,2018.0,1219.3041829622805,301.8320428563798,5
Wonder,Lionsgate,Drama,16.20092048492695,1192482.0,141.0,2018.0,1211.2205110734767,295.9452569086695,5
Gotti,Vertical Entertai...,Drama,15.270950078974648,470512.0,182.0,2018.0,1203.4688749094807,293.96734468083145,3
