Movie,Distributor,Genre,Gross,Tickets Sold,rank,releaseYear,radius,x,y
Paranoia,Relativity,Thriller/Suspense,7388654.0,908813.0,149.0,2013.0,5,95.93837861275603,284.73678002306724
The Twilight Saga: Breaking...,Lionsgate,Drama,3191381.0,392543.0,178.0,2013.0,3,46.99054152516136,294.94017379407757
Django Unchained,Weinstein Co.,Western,56525312.0,6952682.0,62.0,2013.0,15,2.7367602662094157,303.1012303607749
Closed Circuit,Focus Features,Thriller/Suspense,5750995.0,707379.0,162.0,2013.0,5,-42.23943392158525,304.56477276937983
Dead Man Down,FilmDistrict,Thriller/Suspense,10895295.0,1340134.0,138.0,2013.0,5,-91.58920550573751,296.5273574763893
Justin Bieber's Believe,Open Road,Documentary,5962982.0,733454.0,159.0,2013.0,5,-139.04563894010548,280.7829322506339
Skyfall,Sony Pictures,Action,7555911.0,929386.0,148.0,2013.0,5,-174.08181020330747,245.11128099623332
Blue Jasmine,Sony Pictures Cla...,Comedy,32744634.0,4027630.0,87.0,2013.0,13,-200.31028180000277,208.54535043647115
The Impossible,Lionsgate,Drama,15607469.0,1919737.0,128.0,2013.0,7,-234.28549911368322,183.85355810605924
Filly Brown,Lionsgate,Drama,2850357.0,350597.0,183.0,2013.0,3,-268.0380498146868,151.14629100567032
Emperor,Roadside Attractions,Drama,3346264.0,411594.0,174.0,2013.0,3,-289.1818063862336,105.83689288515706
The Way Way Back,Fox Searchlight,Comedy,21502690.0,2644857.0,110.0,2013.0,9,-306.07473431842607,61.977697887098195
This is the End,Sony Pictures,Comedy,101470202.0,12480959.0,32.0,2013.0,17,-290.3163181036071,23.046061414936744
Percy Jackson: Sea of Monsters,20th Century Fox,Adventure,68518210.0,8427824.0,50.0,2013.0,17,-296.14520278912323,-16.52696100340978
A Haunted House,Open Road,Comedy,40041683.0,4925176.0,79.0,2013.0,13,-294.8582837174264,-56.5062536347571
