Movie,Distributor,Genre,Gross,Tickets Sold,rank,releaseYear,radius,x,y
Victor Frankenstein,20th Century Fox,Thriller/Suspense,5775076.0,685062.0,160.0,2015.0,5,213.33302872169503,388.3194147917829
Danny Collins,Bleecker Street,Comedy,5637066.0,668691.0,161.0,2015.0,5,172.89770040190257,358.9088006589467
Little Boy,Open Road,Drama,6485961.0,769390.0,155.0,2015.0,5,137.308259530742,323.78912385977657
Seventh Son,Universal,Adventure,17725785.0,2102703.0,113.0,2015.0,7,140.74292116697453,276.9147908037789
The Hobbit: The Battle of t...,Warner Bros.,Adventure,34517771.0,4094634.0,75.0,2015.0,13,136.42180210919935,235.13766871418864
Suffragette,Focus Features,Drama,4668603.0,553808.0,169.0,2015.0,5,144.90714773398568,190.94492146276832
Furious 7,Universal,Action,353007020.0,41875091.0,5.0,2015.0,25,164.75118440633446,150.55662849876109
The Hunger Games: Mockingja...,Lionsgate,Thriller/Suspense,13401383.0,1589725.0,122.0,2015.0,7,201.89141814265486,130.94532976533986
Back to the Future,Universal,Adventure,12127168.0,1438572.0,129.0,2015.0,7,236.577979294461,103.87426633107464
Point Break,Warner Bros.,Action,15584535.0,1848699.0,117.0,2015.0,7,279.81632595845224,95.72286290807318
